戲劇知識綜合,#genre#
衛視電影,http://220.134.196.147:9571/http/116.50.42.19:8081/hls/62/804/ch07.m3u8
衛視電影,http://220.134.196.147:9549/http/116.50.42.18:8081/hls/62/804/ch07.m3u8
HBO,http://220.134.196.147:9539/http/116.50.42.18:8081/hls/71/813/ch41.m3u8
HBO HIT,http://baidu.douyincdn.freetvtv.com/hbohits/index.m3u8
龍華電影,http://220.134.196.147:9568/http/116.50.42.19:8066/hls/210/10014/cstv14.m3u8
龍華電影,http://116.50.42.21:8575/.m3u8
緯來電影,http://220.134.196.147:9569/http/116.50.42.19:8081/hls/69/811/ch35.m3u8
STARWORLD,http://220.134.196.147:9561/http/60.251.39.91:8081/hls/61/803/ch02.m3u8
蓮花電影,http://pull-l3-cny.douyincdn.com/third/stream-f3caad21816e3bfe2210a692387ab040.m3u8
蓮花電影,http://nettvpro.live/hls/lotustv.php
金馬電影,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
經典電影,http://www.336699.live:1935/blocksix/4gtv-live021.stream/chunklist.m3u8
天映頻道,http://210.210.155.35:80/dr9445/h/h14/02.m3u8
影迷紀實,http://www.336699.live:1935/blocksix/4gtv-live023.stream/chunklist.m3u8
AXN,http://220.134.196.147:9503/http/116.50.42.18:8081/hls/71/813/ch43.m3u8
好萊塢電影,http://220.134.196.147:9502/http/116.50.42.18:8081/hls/74/816/ch55.m3u8
CINEMAX,http://220.134.196.147:9533/http/116.50.42.19:8081/hls/71/813/ch42.m3u8
采昌電影,http://www.336699.live:1935/blockfour/4gtv-4gtv049.stream/playlist.m3u8

體育,#genre#
緯來體育,http://123.51.229.65:18509/.m3u8
緯來體育,rtmp://119.81.124.89/sat/tv721
ELTA體育1,rtmp://119.81.124.89/sat/md051
ELTA體育2,http://www.best336699.com:1935/besttv/IR22.stream/playlist.m3u8
ELTA體育2,rtmp://119.81.124.89/sat/md011
ELTA體育3,rtmp://119.81.124.89/sat/md041
博斯網球,rtmp://119.81.124.89/sat/md031
博斯高球,http://www.336699.live:1935/blockfour/litv-longturn05.stream/playlist.m3u8
博斯無限,http://www.336699.live:1935/blockfour/litv-longturn10.stream/playlist.m3u8
博斯網球,http://www.336699.live:1935/blockfour/litv-longturn09.stream/playlist.m3u8
博斯運動I,http://220.134.196.147:9564/http/59.120.8.187:8066/hls/210/10018/cstv18.m3u8
博斯運動II,http://220.134.196.147:9565/http/59.120.8.187:8081/hls/61/803/ch04.m3u8
智林體育,http://www.336699.live:1935/blockfour/4gtv-4gtv101.stream/playlist.m3u8
ELEVEN1,rtmp://119.81.124.89/sat/tv731
ELEVEN1,http://220.134.196.147:9566/http/59.120.8.187:8078/hls/25/80/esport.m3u8
ELEVEN2,rtmp://119.81.124.89/sat/tv741
ELEVEN2,http://61.221.81.93:8078/hls/26/80/esport2.m3u8
ELEVEN2,rtmp://119.81.124.89/sat/md021
HIGHLIGHT,http://www.336699.live:1935/blockfive/4gtv-live201.stream/chunklist.m3u8
TRACE SPORT,http://www.336699.live:1935/blockfour/4gtv-4gtv077.stream/playlist.m3u8

兒童,#genre#
佩佩豬,https://ytm2.yuanhsing.cf/PeppaPig.m3u8
東森幼幼歌曲,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV63.m3u8
親子動畫01,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV65.m3u8
親子動畫02,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV66.m3u8
親子動畫-DAVE&AVA(英),https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV67.m3u8
靖天卡通,http://www.336699.live:1935/blockfour/4gtv-4gtv044.stream/playlist.m3u8
靖洋卡通,http://www.336699.live:1935/blockfour/4gtv-4gtv057.stream/playlist.m3u8
i-Fun愛放,http://www.336699.live:1935/blockfour/litv-ftv15.stream/playlist.m3u8
momo親子台,http://www.336699.live:1935/blocksix/4gtv-live107.stream/chunklist.m3u8
經典卡通,http://www.336699.live:1935/blocksix/4gtv-live022.stream/chunklist.m3u8
精選動漫,http://www.336699.live:1935/blocksix/4gtv-live024.stream/chunklist.m3u8
尼克兒童,http://www.336699.live:1935/blocksix/4gtv-live032.stream/chunklist.m3u8
尼克兒童1,http://www.336699.live:1935/blocksix/4gtv-live105.stream/chunklist.m3u8
寵物當家,http://www.336699.live:1935/blocksix/4gtv-live110.stream/chunklist.m3u8
GOOD卡通,http://live.streamingfast.net/osmflivech45.m3u8
獅子家庭,https://ytm2.yuanhsing.cf/LionFamily.m3u8

港台測試1,#genre#
東森購物1台,https://github.com/HIEIHIEI/TVBOX/raw/main/ytblive/sensengo47.m3u8
東森購物2台,https://github.com/HIEIHIEI/TVBOX/raw/main/ytblive/sensengo34.m3u8
東森購物3台,https://github.com/HIEIHIEI/TVBOX/raw/main/ytblive/sensengo46.m3u8
東森購物5台,https://github.com/HIEIHIEI/TVBOX/raw/main/ytblive/sensengo60.m3u8
MOMO購物1台,https://github.com/HIEIHIEI/TVBOX/raw/main/ytblive/momoshop1.m3u8
MOMO購物2台,https://github.com/HIEIHIEI/TVBOX/raw/main/ytblive/momoshop2.m3u8
民視,http://23.237.10.66:16334?$1280x720
民視K,http://107.151.203.111:2209/135/us50.php?id=msk
台視K,http://107.151.203.111:2209/135/us50.php?id=tsk
台視,http://23.237.10.66:16344?$1920x1080
蓮花衛視,http://107.151.203.111:2209/135/hk.php?id=amlh
澳亞衛視,http://107.151.203.111:2209/135/hk.php?id=aoya
優視頻道,http://107.151.203.111:2209/135/hk.php?id=uchanneltv
中天娛樂K,http://107.151.203.111:2209/135/us50.php?id=ztz
鳳凰中文HD,http://107.151.203.111:2209/135/hk.php?id=fhzw
鳳凰資訊HD,http://107.151.203.111:2209/135/hk.php?id=fhzx
香港衛視文旅,http://107.151.203.111:2209/135/hk.php?id=hk6
耀才財經,http://107.151.203.111:2209/135/hk.php?id=bs
有線新聞台,http://107.151.203.111:2209/135/hk.php?id=cable37h
有線財經資訊台,http://107.151.203.111:2209/135/hk.php?id=cable38h
香港國際財經台,http://107.151.203.111:2209/135/hk.php?id=cable76h
香港開電視,http://107.151.203.111:2209/135/hk.php?id=cable77h
翡翠台,http://23.237.10.66:16106?$1920x1080
翡翠台1,http://23.237.10.66:16410?$1280x720
Sportv2,http://23.237.10.66:16180?$1280x720
智林體育台,http://58.99.33.16:1935/liveedge17/live_122_3.stream/chunklist.m3u8
TV8,http://23.237.10.66:16406/
足球SUKAN,http://23.237.10.66:16476/
